Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Quadratic Probing,6,5,96,30,71,46,55,73,28,90,11
Quadratic Probing,7,9,92,24,77,34,67,49,52,74,27
Quadratic Probing,8,10,91,33,68,49,52,71,30,89,12
Quadratic Probing,9,6,95,21,80,40,61,59,42,77,24
Quadratic Probing,10,9,92,24,77,43,58,57,44,75,26
Quadratic Probing,11,10,91,27,74,51,50,69,32,91,10
Quadratic Probing,12,6,95,24,77,44,57,55,46,86,15
Quadratic Probing,13,14,87,27,74,47,54,61,40,85,16
Quadratic Probing,14,13,88,35,66,55,46,74,27,90,11
Quadratic Probing,15,20,81,43,58,60,41,79,22,95,6
Quadratic Probing,16,10,91,30,71,55,46,73,28,97,4
Quadratic Probing,17,8,93,24,77,52,49,76,25,90,11
Quadratic Probing,18,9,92,32,69,48,53,69,32,92,9
Quadratic Probing,19,12,89,44,57,67,34,89,12,101,0
Quadratic Probing,20,10,91,31,70,61,40,83,18,99,2
Quadratic Probing,21,11,90,25,76,44,57,70,31,95,6
Quadratic Probing,22,9,92,33,68,54,47,77,24,95,6
Quadratic Probing,23,8,93,31,70,44,57,63,38,92,9
Quadratic Probing,24,9,92,38,63,62,39,83,18,97,4
Quadratic Probing,25,10,91,39,62,52,49,77,24,97,4
Quadratic Probing,26,10,91,36,65,54,47,78,23,98,3
Quadratic Probing,27,13,88,29,72,46,55,69,32,94,7
Quadratic Probing,28,10,91,28,73,60,41,78,23,95,6
Quadratic Probing,29,12,89,27,74,48,53,68,33,92,9
Quadratic Probing,30,7,94,30,71,54,47,75,26,96,5
Quadratic Probing,31,11,90,34,67,51,50,73,28,97,4
Quadratic Probing,32,7,94,32,69,54,47,75,26,99,2
Quadratic Probing,33,10,91,29,72,49,52,74,27,96,5
Quadratic Probing,34,13,88,28,73,50,51,68,33,91,10
Quadratic Probing,35,9,92,35,66,51,50,73,28,94,7
Quadratic Probing,36,12,89,37,64,56,45,75,26,90,11
Quadratic Probing,37,10,91,29,72,47,54,64,37,94,7
Quadratic Probing,38,10,91,32,69,55,46,81,20,93,8
Quadratic Probing,39,15,86,31,70,46,55,61,40,83,18
Quadratic Probing,40,5,96,24,77,43,58,59,42,81,20
Quadratic Probing,41,12,89,30,71,46,55,67,34,82,19
Quadratic Probing,42,11,90,36,65,58,43,68,33,81,20
Quadratic Probing,43,8,93,33,68,53,48,75,26,96,5
Quadratic Probing,44,11,90,26,75,46,55,69,32,95,6
Quadratic Probing,45,11,90,26,75,48,53,75,26,96,5
Quadratic Probing,46,10,91,29,72,57,44,77,24,99,2
Quadratic Probing,47,9,92,26,75,47,54,67,34,88,13
Quadratic Probing,48,17,84,45,56,69,32,83,18,96,5
Quadratic Probing,49,10,91,31,70,56,45,80,21,99,2
Quadratic Probing,50,10,91,26,75,49,52,69,32,93,8
Quadratic Probing,51,8,93,31,70,53,48,73,28,92,9
Quadratic Probing,52,9,92,26,75,45,56,71,30,91,10
Quadratic Probing,53,9,92,29,72,52,49,71,30,89,12
Quadratic Probing,54,9,92,32,69,55,46,76,25,93,8
Quadratic Probing,55,8,93,30,71,51,50,72,29,94,7
Quadratic Probing,56,9,92,31,70,48,53,78,23,91,10
Quadratic Probing,57,4,97,22,79,39,62,60,41,83,18
Quadratic Probing,58,9,92,32,69,44,57,66,35,91,10
Quadratic Probing,59,12,89,29,72,45,56,68,33,88,13
Quadratic Probing,60,11,90,25,76,52,49,75,26,89,12
Quadratic Probing,61,10,91,30,71,44,57,65,36,88,13
Quadratic Probing,62,5,96,26,75,39,62,56,45,74,27
Quadratic Probing,63,10,91,25,76,44,57,61,40,82,19
Quadratic Probing,64,6,95,21,80,46,55,65,36,81,20
Quadratic Probing,65,13,88,38,63,59,42,74,27,88,13
Quadratic Probing,66,13,88,40,61,64,37,82,19,95,6
Quadratic Probing,67,4,97,25,76,46,55,66,35,92,9
Quadratic Probing,68,17,84,33,68,51,50,68,33,89,12
Quadratic Probing,69,10,91,33,68,49,52,61,40,90,11
Quadratic Probing,70,9,92,21,80,49,52,66,35,91,10
Quadratic Probing,71,14,87,35,66,65,36,86,15,98,3
